"org_key","parent_key","desc1","desc2","city","state","status"
"AYSOA90C","AYSOS90","AYSO Area 90C",,,,
,,,,,,
"AYSOR0124","AYSOA05B","AYSO Region 0124","A05B-R0124 NW Knoxville, TN","Knoxville","TN",
"AYSOR0128","AYSOA05B","AYSO Region 0128","A05B-R0128 West Knoxville, TN","Knoxville","TN",
"AYSOR0263","AYSOA05B","AYSO Region 0263","A05B-R0263,South Knoxville, TN","Knoxville","TN",
"AYSOR0275","AYSOA05B","AYSO Region 0275","A05B-R0275 Cedar Bluff, TN","Knoxville","TN",
"AYSOR0279","AYSOA05B","AYSO Region 0279","A05B-R0279 Bearden, TN","Knoxville","TN",
"AYSOR0335","AYSOA05B","AYSO Region 0335","A05B-R0335 Bulls Gap, TN","Bulls Gap","TN",
"AYSOR0337","AYSOA05B","AYSO Region 0337","A05B-R0337 North Knoxville, TN","Knoxville","TN",
"AYSOR0440","AYSOA05B","AYSO Region 0440","A05B-R0440 Gatlinburg, TN","Gatlinburg","TN",
"AYSOR0551","AYSOA05B","AYSO Region 0551","A05B-R0551 Harrogate, TN","Harrogate","TN",
"AYSOR0796","AYSOA05B","AYSO Region 0796","A05B-R0796 Andersonville, TN","Andersonville","TN",
"AYSOR1159","AYSOA05B","AYSO Region 1159","A05B-R1159 Maryville, TN","Maryville","TN",
"AYSOR1165","AYSOA05B","AYSO Region 1165","A05B-R1165 Cocke County TN","Cocke County","TN",
"AYSOR1266","AYSOA05B","AYSO Region 1266","A05B-R1266 Seymour, TN","Seymour","TN",
"AYSOR1336","AYSOA05B","AYSO Region 1336","A05B-R1336 Rogersville, TN","Rogersville","TN",
"AYSOR1390","AYSOA05B","AYSO Region 1390","A05B-R1390 East Knoxville, TN","Knoxville","TN",
,,,,,,
"AYSOR0160","AYSOA05C","AYSO Region 0160","A05C-R0160 Huntsville, AL","Huntsville","AL",
"AYSOR0498","AYSOA05C","AYSO Region 0498","A05C-R0498 Madison, AL","Madison","AL",
"AYSOR0557","AYSOA05C","AYSO Region 0557","A05C-R0557 Fayetteville, TN","Fayetteville","AL",
"AYSOR0622","AYSOA05C","AYSO Region 0622","A05C-R0622 Sand Rock, AL","Sand Rock","AL",
"AYSOR0894","AYSOA05C","AYSO Region 0894","A05C-R0894 Monrovia, AL","Monrovia","AL",
"AYSOR0914","AYSOA05C","AYSO Region 0914","A05C-R0914 East Limestone, AL","East Limestone","AL",
"AYSOR0991","AYSOA05C","AYSO Region 0991","A05C-R0991 Sewanee, TN","Sewanee","TN",
"AYSOR1174","AYSOA05C","AYSO Region 1174","A05C-R1174 Hazel Green, AL","Hazel Green","TN",
,,,,,,
"AYSOR0890","AYSOA05D","AYSO Region 0890","A05D-R0890 Marshall County, TN","Marshall County","TN",
"AYSOR0989","AYSOA05D","AYSO Region 0989","A05D-R0989 Fulton, TN","Fulton","TN",
"AYSOR1077","AYSOA05D","AYSO Region 1077","A05D-R1077 Atwood, TN","Atwood","TN",
"AYSOR1371","AYSOA05D","AYSO Region 1371","A05D-R1371 Beech Bluff, TN","Beech Bluff","TN",
"AYSOR1535","AYSOA05D","AYSO Region 1535","A05D-R1535 Brighton, TN","Brighton","TN",
,,,,,,
"AYSOR0132","AYSOA05E","AYSO Region 0132","A05E-R0132 Spartanburg, SC","Spartanburg","SC",
"AYSOR0572","AYSOA05E","AYSO Region 0572","A05E-R0572 Haywood County, NC","Haywood County","NC",
"AYSOR0605","AYSOA05E","AYSO Region 0605","A05E-R0605 Charlotte, NC","Charlottee","NC",
"AYSOR0722","AYSOA05E","AYSO Region 0722","A05E-R0722 Spartenburg North, SC","Spartenburg North","SC",
"AYSOR1157","AYSOA05E","AYSO Region 1157","A05E-R1157 Cross Anchor, SC","Cross Anchor","SC",
"AYSOR1588","AYSOA05E","AYSO Region 1588","A05E-R1588 Cherokee, SC","Cherokee, SC","SC",
,,,,,,
"AYSOR0414","AYSOA05F","AYSO Region 0414","A05F-R0414 Cullman, AL","Cullman","AL",
"AYSOR0649","AYSOA05F","AYSO Region 0649","A05F-R0649 Oneonta County, AL","Oneonta","AL",
"AYSOR0773","AYSOA05F","AYSO Region 0773","A05F-R0773 Hartselle, AL","Hartselle","AL",
"AYSOR0778","AYSOA05F","AYSO Region 0778","A05F-R0778 Arab, AL","Arab","AL",
"AYSOR0916","AYSOA05F","AYSO Region 0916","A05F-R0916 Athens, AL","Athens","AL",
"AYSOR1011","AYSOA05F","AYSO Region 1011","A05F-R1011 Guntersville, AL","Guntersville","AL",
"AYSOR1062","AYSOA05F","AYSO Region 1062","A05F-R1062 Albertville, AL","Albertville","AL",
"AYSOR1096","AYSOA05F","AYSO Region 1096","A05F-R1096 Florence, AL","Florence","AL",
"AYSOR1373","AYSOA05F","AYSO Region 1373","A05F-R1373 New Hope, AL","New Hope","AL",
"AYSOR1495","AYSOA05F","AYSO Region 1495","A05F-R1495 Anderson, AL","Anderson","AL",
"AYSOR1565","AYSOA05F","AYSO Region 1565","A05F-R1565 Ardmore, AL","Ardmore","AL",
"AYSOR1578","AYSOA05F","AYSO Region 1578","A05F-R1578 Killen, AL","Killen","AL",
,,,,,,
"AYSOR0325","AYSOA05G","AYSO Region 0325","A05G-R0325 Lenoir City, TN","Lenoir City","TN",
"AYSOR0385","AYSOA05G","AYSO Region 0385","A05G-R0385 Scott County, TN","Scott County","TN",
"AYSOR0390","AYSOA05G","AYSO Region 0390","A05G-R0390 Oak Ridge, TN","Oak Ridge","TN",
"AYSOR0612","AYSOA05G","AYSO Region 0612","A05G-R0612 McMinn, TN","McMinn","TN",
"AYSOR0727","AYSOA05G","AYSO Region 0727","A05G-R0727 Roane County, TN","Roane County","TN",
"AYSOR1277","AYSOA05G","AYSO Region 1277","A05G-R1277 Monroe County, TN","Monroe County","TN",
